course_name,login_count,active_days,login_frequency,login_consistency,course_access_count,module_completion_rate,page_view_count,class_exercise_submissions,class_exercises_attempted,total_practice,exercises_attempted,quiz_attempt_count,quiz_completion_rate,quiz_average_score,quiz_view_count,mock_exam_score,portal_based_exam_score,model_exam_score,pba_score,cia_score,end_semester_score,in_between_assessment_grade,pba_assessment_score,average_access_hour,study_session_count,time_spent_on_course_minutes,study_frequency_per_week,week_1_6_engagement,week_1_9_engagement,week_1_12_engagement,week_1_16_engagement,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,completed_modules,study_interval_regularity
Course 3,183,65,2.82,0.29,97,100.0,0,0,0,0,0,90,100.0,34.06,1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95,35,1587.0,10,2588,2984,3050,3050,0,91,732,871,706,188,246,35,115,35,31,0,0,0,0,0,86,0.781
Course 3,238,89,2.67,0.38,203,100.0,0,0,0,0,0,106,100.0,33.73,1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22,53,8866.0,12,2342,2876,3141,3141,14,210,492,792,569,265,364,35,135,99,98,68,0,0,0,0,105,0.814
Course 3,160,77,2.08,0.33,161,100.0,0,0,0,0,0,93,100.0,36.63,1269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92,37,3578.0,10,2482,2810,2936,2936,0,146,619,886,648,183,171,93,64,93,0,33,0,0,0,0,91,0.742
Course 3,179,90,1.99,0.38,67,100.0,0,0,0,0,0,97,100.0,31.04,1282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,44,3632.0,11,2230,2778,3276,3276,0,267,330,867,666,100,178,34,336,170,157,171,0,0,0,0,97,0.788
Course 3,212,82,2.59,0.35,112,100.0,0,0,0,0,0,102,100.0,36.85,2290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62,41,5395.0,12,4243,4704,5068,5068,213,179,679,1668,1191,313,264,37,160,161,114,89,0,0,0,0,98,0.794
Course 3,86,50,1.72,0.22,24,100.0,0,0,0,0,0,50,100.0,36.32,634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.61,15,1051.0,6,1415,1596,1632,1632,0,24,575,422,394,0,0,0,181,0,0,36,0,0,0,0,50,0.537
Course 3,267,93,2.87,0.4,161,100.0,0,0,0,0,0,99,100.0,32.06,1516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44,57,5892.0,12,2561,3059,3591,3591,84,126,440,969,756,186,179,86,233,200,187,145,0,0,0,0,97,0.81
Course 3,310,98,3.16,0.41,142,100.0,0,0,0,0,0,74,100.0,34.75,1132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78,41,4466.0,11,2023,2461,2619,2619,0,78,418,788,649,90,199,41,198,81,6,71,0,0,0,0,72,0.756
Course 3,226,93,2.43,0.39,193,100.0,0,0,0,0,0,114,100.0,24.35,1574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.41,47,4823.0,12,2891,3349,3648,3648,9,391,405,1255,623,208,277,58,123,135,101,63,0,0,0,0,105,0.79
Course 3,250,105,2.38,0.45,154,100.0,0,0,0,0,0,106,100.0,36.27,1473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13,55,4914.0,12,2598,3256,3503,3503,59,297,513,871,679,179,305,42,311,136,54,57,0,0,0,0,101,0.82
Course 3,151,90,1.68,0.38,49,100.0,0,0,0,0,0,90,100.0,35.32,1128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.64,38,3549.0,11,2206,2478,2770,2770,0,3,601,809,622,171,173,31,68,136,93,63,0,0,0,0,90,0.76
Course 3,186,84,2.21,0.36,140,100.0,0,0,0,0,0,116,100.0,31.89,1460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.41,52,5715.0,12,2604,3008,3377,3377,30,386,435,885,688,180,291,38,75,131,107,131,0,0,0,0,108,0.797
Course 3,173,85,2.04,0.36,106,100.0,0,0,0,0,0,105,100.0,32.7,1426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.37,41,5542.0,11,2577,3028,3295,3295,0,446,418,884,651,178,331,37,83,128,97,42,0,0,0,0,102,0.777
Course 3,176,62,2.84,0.28,126,100.0,0,0,0,0,0,73,100.0,37.66,1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22,27,3277.0,7,2316,2511,2511,2511,0,147,648,972,460,89,148,47,0,0,0,0,0,0,0,0,73,0.82
Course 3,152,79,1.92,0.33,116,100.0,0,0,0,0,0,99,100.0,29.72,1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,46,7034.0,11,2062,2400,2941,2944,0,100,389,810,674,89,180,0,158,149,207,185,3,0,0,0,95,0.762
Course 3,314,112,2.8,0.47,298,100.0,0,0,0,0,0,129,100.0,34.18,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.86,72,19121.0,13,3315,3853,4265,4266,15,545,432,933,797,593,316,37,185,159,123,130,1,0,0,0,127,0.858
